Drainage basin, 2454, TW depth, -61.12, TW lat/lon,  77.0953 ,  15.8019, TW ID, 16110, TW name, o
 , , S800 depth, -65.36, S800 lat/lon,  77.0619 ,  15.8278, S800 i/j , 558, 457
Depth, 2007-06, 2007-06, 2007-07, 2007-07, 2007-08, 2007-08, 2007-09, 2007-09, 2008-06, 2008-06, 2008-07, 2008-07, 2008-08, 2008-08, 2008-09, 2008-09, 2009-06, 2009-06, 2009-07, 2009-07, 2009-08, 2009-08, 2009-09, 2009-09, 2010-06, 2010-06, 2010-07, 2010-07, 2010-08, 2010-08, 2010-09, 2010-09, 
--, salt, temp, salt, temp, salt, temp, salt, temp, salt, temp, salt, temp, salt, temp, salt, temp, salt, temp, salt, temp, salt, temp, salt, temp, salt, temp, salt, temp, salt, temp, salt, temp, 
-16.3,34.574,3.0622,34.296,3.98,34.579,4.6959,34.588,3.703,34.579,2.0465,34.086,2.9139,34.389,3.6414,34.555,3.5705,34.588,2.8652,34.252,5.0241,34.311,4.8351,34.488,3.7964,34.219,1.7764,33.849,3.3516,34.052,3.9184,34.026,3.0562
-14.583,34.572,3.0642,34.277,4.0279,34.576,4.7026,34.586,3.6959,34.578,2.077,34.067,2.9315,34.38,3.6595,34.552,3.5635,34.585,2.892,34.248,5.0468,34.297,4.8714,34.487,3.7882,34.212,1.8021,33.826,3.398,34.04,3.9495,34.022,3.0471
-13.011,34.571,3.0671,34.261,4.0705,34.573,4.7087,34.585,3.6888,34.578,2.1035,34.05,2.9499,34.372,3.6774,34.549,3.5558,34.583,2.9165,34.245,5.0714,34.285,4.9005,34.486,3.7839,34.204,1.8254,33.805,3.4422,34.03,3.975,34.018,3.0376
-11.575,34.569,3.0715,34.248,4.1125,34.57,4.7133,34.583,3.683,34.577,2.1263,34.033,2.9709,34.365,3.6942,34.546,3.548,34.581,2.9391,34.243,5.0967,34.274,4.9239,34.485,3.7808,34.197,1.8471,33.788,3.4812,34.022,3.994,34.014,3.0289
-10.263,34.568,3.0778,34.237,4.151,34.567,4.7168,34.583,3.6784,34.577,2.1468,34.016,2.9954,34.36,3.7107,34.544,3.54,34.579,2.9606,34.241,5.119,34.265,4.9431,34.485,3.7779,34.189,1.8666,33.772,3.5173,34.016,4.0072,34.011,3.0217
-9.0681,34.567,3.0857,34.226,4.1892,34.565,4.7195,34.582,3.6745,34.577,2.1662,34,3.0237,34.355,3.7278,34.542,3.5328,34.577,2.9809,34.239,5.137,34.257,4.9596,34.484,3.7754,34.183,1.885,33.759,3.5504,34.01,4.0151,34.009,3.0149
-7.9796,34.566,3.0943,34.217,4.2268,34.563,4.7221,34.581,3.6708,34.576,2.1847,33.987,3.0538,34.352,3.7452,34.541,3.5272,34.576,3.001,34.237,5.152,34.25,4.9739,34.484,3.773,34.176,1.9028,33.747,3.5807,34.006,4.0194,34.007,3.0089
-6.9888,34.566,3.1031,34.209,4.2633,34.561,4.7244,34.581,3.6678,34.576,2.2033,33.975,3.0829,34.349,3.7634,34.54,3.5224,34.575,3.021,34.235,5.1669,34.244,4.9857,34.484,3.7711,34.17,1.9205,33.738,3.6049,34.002,4.0201,34.005,3.0039
-6.0873,34.565,3.1119,34.205,4.2961,34.559,4.7264,34.58,3.6653,34.576,2.2219,33.967,3.111,34.346,3.7807,34.54,3.5191,34.575,3.0411,34.234,5.1822,34.24,4.9955,34.484,3.7699,34.165,1.9381,33.731,3.6219,33.999,4.0185,34.004,2.9992
-5.2665,34.565,3.1208,34.203,4.327,34.557,4.728,34.58,3.6632,34.576,2.2415,33.959,3.1395,34.344,3.7972,34.539,3.5172,34.574,3.0607,34.233,5.198,34.237,5.0046,34.484,3.7687,34.16,1.9554,33.726,3.6352,33.997,4.0171,34.003,2.9945
-4.5184,34.565,3.1298,34.201,4.3573,34.556,4.7301,34.579,3.6614,34.576,2.2615,33.954,3.1696,34.342,3.8124,34.539,3.5161,34.573,3.0799,34.232,5.2146,34.234,5.0141,34.484,3.7677,34.155,1.9732,33.722,3.6459,33.995,4.0169,34.001,2.9894
-3.8349,34.564,3.1393,34.2,4.3875,34.555,4.7324,34.579,3.66,34.576,2.2818,33.949,3.2,34.341,3.8268,34.539,3.5151,34.573,3.0985,34.232,5.232,34.232,5.0227,34.483,3.7667,34.151,1.9919,33.718,3.6556,33.994,4.0181,34,2.984
-3.2082,34.564,3.1491,34.199,4.4178,34.554,4.735,34.578,3.6587,34.576,2.3021,33.945,3.2305,34.34,3.8406,34.539,3.5142,34.572,3.1157,34.231,5.2495,34.23,5.031,34.483,3.7657,34.147,2.0117,33.715,3.6651,33.993,4.0207,34,2.9801
-2.6306,34.564,3.1598,34.198,4.4487,34.553,4.7382,34.578,3.6573,34.576,2.3227,33.941,3.2623,34.339,3.8533,34.538,3.5132,34.572,3.1322,34.231,5.2665,34.229,5.0391,34.483,3.7646,34.143,2.033,33.713,3.6757,33.992,4.0245,33.999,2.9768
-2.0946,34.564,3.1719,34.198,4.4809,34.552,4.7418,34.577,3.6558,34.575,2.3455,33.938,3.297,34.338,3.8653,34.538,3.5124,34.571,3.1501,34.23,5.2839,34.228,5.0475,34.483,3.7635,34.14,2.0547,33.711,3.6883,33.992,4.0291,33.999,2.9736
-1.5928,34.563,3.1868,34.197,4.5159,34.551,4.747,34.577,3.6542,34.576,2.3736,33.936,3.3366,34.337,3.8773,34.537,3.5113,34.571,3.173,34.23,5.3042,34.227,5.0563,34.483,3.7622,34.138,2.0783,33.709,3.7048,33.991,4.0347,33.998,2.971
-1.1177,34.563,3.2043,34.197,4.5542,34.55,4.7533,34.576,3.6528,34.576,2.4087,33.934,3.3821,34.336,3.8903,34.536,3.5105,34.57,3.2012,34.23,5.3298,34.227,5.0654,34.483,3.7607,34.136,2.1069,33.707,3.7254,33.991,4.0414,33.998,2.9688
-0.66225,34.563,3.2208,34.197,4.5902,34.549,4.758,34.576,3.6508,34.576,2.4426,33.933,3.4254,34.334,3.9014,34.535,3.5098,34.569,3.2269,34.23,5.3555,34.226,5.0728,34.483,3.7591,34.134,2.1341,33.706,3.7447,33.99,4.0468,33.998,2.9667
-0.21913,34.563,3.2287,34.197,4.6106,34.548,4.759,34.575,3.6486,34.576,2.46,33.932,3.4494,34.333,3.906,34.534,3.5088,34.568,3.2393,34.23,5.3686,34.225,5.0756,34.482,3.757,34.132,2.1477,33.705,3.7544,33.99,4.0481,33.998,2.9644
